slice fieldpos lbda x y rmsx_um rmsy_um
1.000000 -1.000000 0.350000 17.783724 19.447246 2.190370 1.629596
1.000000 -1.000000 0.400000 17.669517 17.666763 1.521143 1.698664
1.000000 -1.000000 0.500000 17.547354 15.671237 1.019332 2.363389
1.000000 -1.000000 0.700000 17.444972 13.912727 1.558027 3.231352
1.000000 -1.000000 1.000000 17.378211 12.716326 2.302403 3.894424
1.000000 -1.000000 1.200000 17.346990 12.141614 2.712018 4.225306
1.000000 -1.000000 1.400000 17.317760 11.594028 3.124794 4.545843
1.000000 -1.000000 1.600000 17.288107 11.028533 3.570530 4.881005
1.000000 -1.000000 1.700200 17.272759 10.731652 3.811595 5.058281
1.000000 -0.500000 0.350000 17.506221 19.430909 2.637781 1.400007
1.000000 -0.500000 0.400000 17.393936 17.651498 1.924845 1.316104
1.000000 -0.500000 0.500000 17.273837 15.657137 1.167886 1.956578
1.000000 -0.500000 0.700000 17.173192 13.899619 1.284233 2.837596
1.000000 -0.500000 1.000000 17.107567 12.703875 1.921191 3.505211
1.000000 -0.500000 1.200000 17.076877 12.129472 2.307160 3.836592
1.000000 -0.500000 1.400000 17.048146 11.582178 2.705017 4.156679
1.000000 -0.500000 1.600000 17.019001 11.016980 3.139992 4.490520
1.000000 -0.500000 1.700200 17.003915 10.720254 3.376661 4.666785
1.000000 0.000000 0.350000 17.228655 19.414864 3.060745 1.292866
1.000000 0.000000 0.400000 17.118281 17.636502 2.318867 0.985655
1.000000 0.000000 0.500000 17.000232 15.643279 1.423451 1.566363
1.000000 0.000000 0.700000 16.901309 13.886730 1.129739 2.458093
1.000000 0.000000 1.000000 16.836811 12.691627 1.594232 3.128572
1.000000 0.000000 1.200000 16.806649 12.117527 1.944424 3.459607
1.000000 0.000000 1.400000 16.778412 11.570517 2.321425 3.778454
1.000000 0.000000 1.600000 16.749768 11.005610 2.742483 4.110189
1.000000 0.000000 1.700200 16.734943 10.709036 2.973793 4.285050
1.000000 0.500000 0.350000 16.951029 19.399112 3.455636 1.324728
1.000000 0.500000 0.400000 16.842555 17.621775 2.691647 0.756278
1.000000 0.500000 0.500000 16.726543 15.629665 1.715347 1.197202
1.000000 0.500000 0.700000 16.629331 13.874064 1.107505 2.094506
1.000000 0.500000 1.000000 16.565949 12.679587 1.330987 2.765342
1.000000 0.500000 1.200000 16.536310 12.105783 1.627076 3.094917
1.000000 0.500000 1.400000 16.508563 11.559051 1.974636 3.411535
1.000000 0.500000 1.600000 16.480417 10.994428 2.377610 3.740224
1.000000 0.500000 1.700200 16.465848 10.698001 2.602404 3.913218
1.000000 1.000000 0.350000 16.673345 19.383653 3.820302 1.476072
1.000000 1.000000 0.400000 16.566762 17.607319 3.037758 0.710614
1.000000 1.000000 0.500000 16.452773 15.616297 2.008599 0.861433
1.000000 1.000000 0.700000 16.357259 13.861622 1.193184 1.750124
1.000000 1.000000 1.000000 16.294985 12.667758 1.142566 2.417058
1.000000 1.000000 1.200000 16.265864 12.094242 1.359328 2.743573
1.000000 1.000000 1.400000 16.238603 11.547782 1.665227 3.056637
1.000000 1.000000 1.600000 16.210949 10.983436 2.044662 3.381083
1.000000 1.000000 1.700200 16.196636 10.687154 2.261592 3.551641
2.000000 -1.000000 0.350000 16.526923 19.374013 2.206490 1.726891
2.000000 -1.000000 0.400000 16.421211 17.598189 1.496070 1.735874
2.000000 -1.000000 0.500000 16.308136 15.607705 0.935881 2.285890
2.000000 -1.000000 0.700000 16.213371 13.853488 1.493838 3.064182
2.000000 -1.000000 1.000000 16.151579 12.659930 2.255696 3.672929
2.000000 -1.000000 1.200000 16.122682 12.086562 2.670340 3.978881
2.000000 -1.000000 1.400000 16.095628 11.540243 3.086267 4.276145
2.000000 -1.000000 1.600000 16.068184 10.976043 3.533850 4.587643
2.000000 -1.000000 1.700200 16.053979 10.679838 3.775386 4.752614
2.000000 -0.500000 0.350000 16.250079 19.358845 2.629405 1.502183
2.000000 -0.500000 0.400000 16.146259 17.584017 1.879184 1.367939
2.000000 -0.500000 0.500000 16.035216 15.594616 1.069264 1.878799
2.000000 -0.500000 0.700000 15.942160 13.841321 1.203867 2.666805
2.000000 -0.500000 1.000000 15.881486 12.648373 1.875979 3.280340
2.000000 -0.500000 1.200000 15.853112 12.075293 2.272469 3.587110
2.000000 -0.500000 1.400000 15.826548 11.529245 2.677282 3.884268
2.000000 -0.500000 1.600000 15.799603 10.965321 3.117020 4.194810
2.000000 -0.500000 1.700200 15.785656 10.669260 3.355394 4.358962
2.000000 0.000000 0.350000 15.973173 19.343968 3.025297 1.387723
2.000000 0.000000 0.400000 15.871236 17.570114 2.248482 1.054282
2.000000 0.000000 0.500000 15.762212 15.581770 1.305761 1.486036
2.000000 0.000000 0.700000 15.670852 13.829375 1.016820 2.281800
2.000000 0.000000 1.000000 15.611286 12.637022 1.541208 2.899147
2.000000 0.000000 1.200000 15.583431 12.064222 1.911183 3.206145
2.000000 0.000000 1.400000 15.557354 11.518439 2.301276 3.502600
2.000000 0.000000 1.600000 15.530902 10.954785 2.731528 3.811561
2.000000 0.000000 1.700200 15.517211 10.658864 2.966325 3.974567
2.000000 0.500000 0.350000 15.696209 19.329383 3.391457 1.398820
2.000000 0.500000 0.400000 15.596145 17.556480 2.594337 0.838963
2.000000 0.500000 0.500000 15.489126 15.569168 1.575482 1.110566
2.000000 0.500000 0.700000 15.399451 13.817652 0.952849 1.910139
2.000000 0.500000 1.000000 15.340984 12.625880 1.256736 2.529877
2.000000 0.500000 1.200000 15.313643 12.053354 1.587327 2.836332
2.000000 0.500000 1.400000 15.288049 11.507828 1.957734 3.131343
2.000000 0.500000 1.600000 15.262086 10.944438 2.376577 3.437975
2.000000 0.500000 1.700200 15.248649 10.648654 2.607411 3.599456
2.000000 1.000000 0.350000 15.419187 19.315090 3.726251 1.523087
2.000000 1.000000 0.400000 15.320986 17.543116 2.912213 0.788230
2.000000 1.000000 0.500000 15.215961 15.556813 1.844441 0.761939
2.000000 1.000000 0.700000 15.127958 13.806155 1.000091 1.554151
2.000000 1.000000 1.000000 15.070582 12.614950 1.030167 2.173705
2.000000 1.000000 1.200000 15.043752 12.042692 1.301996 2.478477
2.000000 1.000000 1.400000 15.018636 11.497418 1.645838 2.771032
2.000000 1.000000 1.600000 14.993158 10.934284 2.051115 3.074373
2.000000 1.000000 1.700200 14.979972 10.638634 2.277704 3.233856
