wavelength,narrow,wide
3000,0.0,0.0
3010,0.0,0.0
3020,0.0,0.0
3030,0.0,0.0
3040,0.0,0.0
3050,0.0,0.0
3060,0.0,0.0
3070,0.0,0.0
3080,0.0,0.0
3090,0.0,0.0
3100,0.0,0.0
3110,0.0,0.0
3120,0.0,0.0
3130,0.0,0.0
3140,0.0,0.0
3150,0.0,0.0
3160,0.0,0.0
3170,0.0,0.0
3180,0.0,0.0
3190,0.0,0.0
3200,0.0,0.0
3210,0.0,0.0
3220,0.0,0.0
3230,0.0,0.0
3240,0.0,0.0
3250,0.0,0.0
3260,0.0,0.0
3270,0.0,0.0
3280,0.0,0.0
3290,0.0,0.0
3300,0.0,0.0
3310,0.0,0.0
3320,0.0,0.0
3330,0.0,0.0
3340,0.0,0.0
3350,0.0,0.0
3360,0.0,0.0
3370,0.0,0.0
3380,0.0,0.0
3390,0.0,0.0
3400,0.0,0.0
3410,0.0,0.0
3420,0.0,0.0
3430,0.0,0.0
3440,0.0,0.0
3450,0.0,0.0
3460,0.0,0.0
3470,0.0,0.0
3480,0.0,0.0
3490,0.0,0.0
3500,0.007044728,0.003855576
3510,0.007900044,0.004401325
3520,0.008976091,0.005126531
3530,0.010031071,0.005834048
3540,0.01119583,0.006652943
3550,0.012296336,0.007427564
3560,0.013661129,0.008418243
3570,0.015086085,0.009481733
3580,0.016111327,0.010299018
3590,0.017743137,0.011570263
3600,0.018797341,0.012428039
3610,0.020302304,0.013633565
3620,0.021863935,0.014933098
3630,0.024432047,0.017070335
3640,0.026059252,0.018493511
3650,0.028461211,0.020547343
3660,0.030219779,0.022145676
3670,0.032645564,0.024294806
3680,0.035575312,0.027016011
3690,0.038112487,0.029331225
3700,0.041172758,0.032206468
3710,0.043465105,0.034457121
3720,0.046745252,0.037602419
3730,0.05150253,0.042169795
3740,0.05547424,0.045985249
3750,0.058731091,0.049242828
3760,0.063276033,0.05360383
3770,0.068667662,0.058791293
3780,0.073790148,0.063762356
3790,0.080542859,0.070262379
3800,0.089130148,0.078847521
3810,0.096251818,0.085803302
