,,snr,exptime,slewtime,calibtime,z,x1,c,t0,ra,dec,magabs,magobs,x0,template,fields,survey,mwebv
elias_s1,fieldcalib,,,,1020.0,,,,,,,,,,,,lsst,
elias_s1,25,20.0,633.9200000000001,0.0,150.0,0.45695,0.365,-0.038,61894.844,9.626359,-42.755867,-19.37912,22.714321,1.30291555e-05,salt2,elias_s1,lsst,
elias_s1,87,20.0,882.96,216.3605348330588,150.0,0.56085,1.025,0.008,61896.832,9.909021,-42.48765,-19.452494,23.17362,8.534871e-06,salt2,elias_s1,lsst,
elias_s1,103,20.0,1426.32,278.05628814251804,150.0,0.60335,-1.235,0.129,61897.805,10.280519,-45.54897,-18.855274,23.962406,4.1274566e-06,salt2,elias_s1,lsst,
elias_s1,105,20.0,1064.08,224.15752357661248,150.0,0.66985,0.68,-0.074,61899.523,9.6266575,-45.041534,-19.76871,23.32451,7.427461e-06,salt2,elias_s1,lsst,
elias_s1,171,20.0,656.5600000000001,236.65341599703518,150.0,0.47835,0.9,-0.001,61895.207,11.312726,-44.715115,-19.634346,22.577457,1.4779557e-05,salt2,elias_s1,lsst,
elias_s1,173,20.0,1064.08,252.61576708990668,150.0,0.61745,0.22,2.7755576e-16,61898.152,8.952986,-43.75191,-19.335161,23.543266,6.0720895e-06,salt2,elias_s1,lsst,
elias_s1,206,20.0,2445.12,242.8876618771228,150.0,0.78645,1.055,0.113,61903.06,10.882783,-44.36119,-19.22906,24.289654,3.0533993e-06,salt2,elias_s1,lsst,
elias_s1,209,20.0,1426.32,216.62032143743954,150.0,0.74495,1.165,-0.027,61901.727,10.66179,-44.04806,-19.473724,23.900938,4.367866e-06,salt2,elias_s1,lsst,
elias_s1,232,20.0,724.48,254.15887529799778,150.0,0.49685,-0.37,-0.03,61895.54,7.9010053,-43.733955,-19.422724,22.887497,1.1108263e-05,salt2,elias_s1,lsst,
elias_s1,234,20.0,2445.12,216.10525351625031,150.0,0.75115,0.555,0.09,61901.92,7.8931284,-44.062008,-19.035355,24.361311,2.8583818e-06,salt2,elias_s1,lsst,
elias_s1,247,20.0,113.2,244.43300375595123,150.0,0.11995,0.49,0.065,61892.066,9.059385,-45.411213,-19.166296,19.644218,0.0002202711,salt2,elias_s1,lsst,
elias_s1,290,20.0,566.0,262.4586762142899,150.0,0.43325,-0.04,-0.046,61894.473,10.634822,-43.31235,-19.495266,22.460926,1.6454105e-05,salt2,elias_s1,lsst,
elias_s1,293,20.0,905.6,254.62742544267405,150.0,0.49285,-0.645,0.114,61895.465,7.8445215,-43.4885,-18.851711,23.437521,6.6932357e-06,salt2,elias_s1,lsst,
elias_s1,352,20.0,656.5600000000001,255.26428778080327,150.0,0.46535,-0.54,-0.097,61894.984,10.572876,-42.93811,-19.526863,22.613642,1.4295137e-05,salt2,elias_s1,lsst,
elias_s1,387,20.0,2309.28,234.65734839316858,150.0,0.69195,-1.185,0.089,61900.14,10.863024,-44.068775,-18.77604,24.403013,2.7506765e-06,salt2,elias_s1,lsst,
elias_s1,463,20.0,520.72,250.50435775106067,150.0,0.39835,-0.13,-0.088,61893.977,9.679241,-42.429443,-19.448183,22.292665,1.9212279e-05,salt2,elias_s1,lsst,
elias_s1,470,20.0,475.44,266.6344915788107,150.0,0.37385,0.465,-0.024,61893.668,8.653178,-44.886707,-19.471672,22.107319,2.2788581e-05,salt2,elias_s1,lsst,
elias_s1,481,20.0,996.1600000000001,231.97444395472516,150.0,0.55515,-1.075,-0.043,61896.707,10.107907,-44.861183,-19.292639,23.30675,7.5499647e-06,salt2,elias_s1,lsst,
